Configuration,Feed,min_comp,max_comp
Config_0,HSO,2,3
Config_0,HSW,0,0
Config_0,LSO,4,7
Config_0,LSW,51,58
Config_0,MSO,28,36
Config_0,MSW,3,6
Config_1,HSO,7,9
Config_1,HSW,0,1
Config_1,LSO,4,8
Config_1,LSW,32,47
Config_1,MSO,34,47
Config_1,MSW,3,8
Config_10,HSO,1,2
Config_10,HSW,0,1
Config_10,LSO,7,9
Config_10,LSW,22,33
Config_10,MSO,43,64
Config_10,MSW,4,18
Config_11,HSO,5,7
Config_11,HSW,0,1
Config_11,LSO,7,9
Config_11,LSW,35,43
Config_11,MSO,34,42
Config_11,MSW,7,9
Config_12,HSO,0,31
Config_12,HSW,0,0
Config_12,LSO,0,0
Config_12,LSW,0,100
Config_12,MSO,0,0
Config_12,MSW,0,0
Config_13,HSO,0,0
Config_13,HSW,0,0
Config_13,LSO,0,0
Config_13,LSW,28,60
Config_13,MSO,0,0
Config_13,MSW,40,72
Config_14,HSO,12,58
Config_14,HSW,0,0
Config_14,LSO,3,37
Config_14,LSW,0,12
Config_14,MSO,15,81
Config_14,MSW,0,0
Config_15,HSO,3,30
Config_15,HSW,0,2
Config_15,LSO,1,5
Config_15,LSW,9,23
Config_15,MSO,44,70
Config_15,MSW,3,13
Config_16,HSO,0,2
Config_16,HSW,0,2
Config_16,LSO,16,34
Config_16,LSW,14,31
Config_16,MSO,37,59
Config_16,MSW,3,8
Config_17,HSO,8,24
Config_17,HSW,1,4
Config_17,LSO,8,20
Config_17,LSW,9,32
Config_17,MSO,15,24
Config_17,MSW,21,36
Config_18,HSO,1,3
Config_18,HSW,0,1
Config_18,LSO,5,11
Config_18,LSW,24,42
Config_18,MSO,44,57
Config_18,MSW,5,9
Config_19,HSO,0,0
Config_19,HSW,0,0
Config_19,LSO,0,0
Config_19,LSW,0,0
Config_19,MSO,0,0
Config_19,MSW,0,0
Config_2,HSO,0,0
Config_2,HSW,0,2
Config_2,LSO,3,21
Config_2,LSW,15,31
Config_2,MSO,12,27
Config_2,MSW,35,54
Config_20,HSO,0,6
Config_20,HSW,0,6
Config_20,LSO,29,45
Config_20,LSW,0,10
Config_20,MSO,35,51
Config_20,MSW,0,24
Config_21,HSO,9,23
Config_21,HSW,1,8
Config_21,LSO,0,5
Config_21,LSW,17,43
Config_21,MSO,9,50
Config_21,MSW,12,48
Config_22,HSO,0,0
Config_22,HSW,0,0
Config_22,LSO,0,0
Config_22,LSW,0,0
Config_22,MSO,100,100
Config_22,MSW,0,0
Config_23,HSO,4,14
Config_23,HSW,0,0
Config_23,LSO,3,11
Config_23,LSW,16,35
Config_23,MSO,51,60
Config_23,MSW,0,6
Config_24,HSO,8,14
Config_24,HSW,0,2
Config_24,LSO,0,17
Config_24,LSW,4,18
Config_24,MSO,51,70
Config_24,MSW,8,18
Config_25,HSO,28,32
Config_25,HSW,1,2
Config_25,LSO,3,5
Config_25,LSW,15,29
Config_25,MSO,29,38
Config_25,MSW,7,14
Config_26,HSO,12,21
Config_26,HSW,0,0
Config_26,LSO,0,0
Config_26,LSW,9,39
Config_26,MSO,13,71
Config_26,MSW,8,33
Config_27,HSO,0,3
Config_27,HSW,0,3
Config_27,LSO,0,35
Config_27,LSW,17,72
Config_27,MSO,21,47
Config_27,MSW,0,29
Config_28,HSO,2,22
Config_28,HSW,0,0
Config_28,LSO,0,64
Config_28,LSW,11,92
Config_28,MSO,0,26
Config_28,MSW,0,6
Config_29,HSO,2,14
Config_29,HSW,1,7
Config_29,LSO,37,48
Config_29,LSW,0,2
Config_29,MSO,31,54
Config_29,MSW,0,17
Config_3,HSO,0,0
Config_3,HSW,0,0
Config_3,LSO,0,0
Config_3,LSW,47,60
Config_3,MSO,0,1
Config_3,MSW,40,53
Config_30,HSO,12,35
Config_30,HSW,1,8
Config_30,LSO,2,18
Config_30,LSW,5,15
Config_30,MSO,30,61
Config_30,MSW,5,20
Config_31,HSO,30,46
Config_31,HSW,0,4
Config_31,LSO,0,13
Config_31,LSW,6,27
Config_31,MSO,14,28
Config_31,MSW,15,24
Config_32,HSO,1,7
Config_32,HSW,0,1
Config_32,LSO,16,31
Config_32,LSW,20,27
Config_32,MSO,40,54
Config_32,MSW,2,9
Config_33,HSO,21,31
Config_33,HSW,1,4
Config_33,LSO,5,9
Config_33,LSW,15,27
Config_33,MSO,33,41
Config_33,MSW,5,10
Config_34,HSO,0,5
Config_34,HSW,0,2
Config_34,LSO,0,29
Config_34,LSW,22,71
Config_34,MSO,0,41
Config_34,MSW,12,64
Config_35,HSO,11,41
Config_35,HSW,0,7
Config_35,LSO,0,7
Config_35,LSW,2,50
Config_35,MSO,22,87
Config_35,MSW,0,16
Config_36,HSO,11,18
Config_36,HSW,7,13
Config_36,LSO,0,18
Config_36,LSW,4,15
Config_36,MSO,39,55
Config_36,MSW,10,17
Config_37,HSO,0,3
Config_37,HSW,0,3
Config_37,LSO,25,41
Config_37,LSW,1,12
Config_37,MSO,36,64
Config_37,MSW,5,13
Config_38,HSO,1,30
Config_38,HSW,0,3
Config_38,LSO,0,3
Config_38,LSW,24,96
Config_38,MSO,1,45
Config_38,MSW,0,36
Config_39,HSO,22,31
Config_39,HSW,23,32
Config_39,LSO,0,6
Config_39,LSW,0,8
Config_39,MSO,33,45
Config_39,MSW,0,0
Config_4,HSO,0,2
Config_4,HSW,0,0
Config_4,LSO,0,7
Config_4,LSW,54,90
Config_4,MSO,1,43
Config_4,MSW,0,18
Config_5,HSO,0,8
Config_5,HSW,0,8
Config_5,LSO,0,0
Config_5,LSW,34,72
Config_5,MSO,0,37
Config_5,MSW,12,55
Config_6,HSO,0,3
Config_6,HSW,0,1
Config_6,LSO,9,23
Config_6,LSW,18,27
Config_6,MSO,45,55
Config_6,MSW,9,19
Config_7,HSO,0,0
Config_7,HSW,0,0
Config_7,LSO,19,50
Config_7,LSW,21,50
Config_7,MSO,0,0
Config_7,MSW,0,58
Config_8,HSO,44,44
Config_8,HSW,0,0
Config_8,LSO,0,0
Config_8,LSW,18,18
Config_8,MSO,38,38
Config_8,MSW,0,0
Config_9,HSO,0,0
Config_9,HSW,0,0
Config_9,LSO,0,0
Config_9,LSW,0,0
Config_9,MSO,0,0
Config_9,MSW,0,0
